calendar-years,week-number,V4_1,administrative-geography,recorded-deaths
2017,week-8,11794,K04000001,total-registered-deaths
2017,week-9,11248,K04000001,total-registered-deaths
2017,week-10,11077,K04000001,total-registered-deaths
2017,week-11,10697,K04000001,total-registered-deaths
2017,week-12,10325,K04000001,total-registered-deaths
2017,week-13,10027,K04000001,total-registered-deaths
2017,week-14,9939,K04000001,total-registered-deaths
2017,week-15,8493,K04000001,total-registered-deaths
2017,week-16,9644,K04000001,total-registered-deaths
2017,week-17,10908,K04000001,total-registered-deaths
2017,week-18,9064,K04000001,total-registered-deaths
2017,week-19,10693,K04000001,total-registered-deaths
2017,week-20,10288,K04000001,total-registered-deaths
2017,week-21,10040,K04000001,total-registered-deaths
2017,week-22,8332,K04000001,total-registered-deaths
2017,week-23,9766,K04000001,total-registered-deaths
2017,week-24,9367,K04000001,total-registered-deaths
2017,week-25,9627,K04000001,total-registered-deaths
2017,week-26,9334,K04000001,total-registered-deaths
2017,week-27,9263,K04000001,total-registered-deaths
2017,week-28,9376,K04000001,total-registered-deaths
2017,week-29,9113,K04000001,total-registered-deaths
2017,week-30,8882,K04000001,total-registered-deaths
2017,week-31,8941,K04000001,total-registered-deaths
2017,week-32,9038,K04000001,total-registered-deaths
2017,week-33,9299,K04000001,total-registered-deaths
2017,week-34,9382,K04000001,total-registered-deaths
2017,week-35,8149,K04000001,total-registered-deaths
2017,week-36,9497,K04000001,total-registered-deaths
2017,week-37,9454,K04000001,total-registered-deaths
2017,week-38,9534,K04000001,total-registered-deaths
2017,week-39,9689,K04000001,total-registered-deaths
2017,week-40,9778,K04000001,total-registered-deaths
2017,week-41,9940,K04000001,total-registered-deaths
2017,week-42,10031,K04000001,total-registered-deaths
2017,week-43,9739,K04000001,total-registered-deaths
2017,week-44,9984,K04000001,total-registered-deaths
2017,week-45,10346,K04000001,total-registered-deaths
2017,week-46,10275,K04000001,total-registered-deaths
2017,week-47,10621,K04000001,total-registered-deaths
2017,week-48,10538,K04000001,total-registered-deaths
2017,week-49,10781,K04000001,total-registered-deaths
2017,week-50,11217,K04000001,total-registered-deaths
2017,week-51,12517,K04000001,total-registered-deaths
2017,week-52,8487,K04000001,total-registered-deaths
2018,week-1,12723,K04000001,total-registered-deaths
2018,week-2,15050,K04000001,total-registered-deaths
2018,week-3,14256,K04000001,total-registered-deaths
2018,week-4,13935,K04000001,total-registered-deaths
2018,week-5,13285,K04000001,total-registered-deaths
2018,week-6,12495,K04000001,total-registered-deaths
2018,week-7,12246,K04000001,total-registered-deaths
2018,week-8,12142,K04000001,total-registered-deaths
2018,week-9,10854,K04000001,total-registered-deaths
2018,week-10,12997,K04000001,total-registered-deaths
2018,week-11,12788,K04000001,total-registered-deaths
2018,week-12,11913,K04000001,total-registered-deaths
2018,week-13,9941,K04000001,total-registered-deaths
2018,week-14,10794,K04000001,total-registered-deaths
2018,week-15,12301,K04000001,total-registered-deaths
2018,week-16,11223,K04000001,total-registered-deaths
2018,week-17,10306,K04000001,total-registered-deaths
2018,week-18,10153,K04000001,total-registered-deaths
2018,week-19,8624,K04000001,total-registered-deaths
2018,week-20,10141,K04000001,total-registered-deaths
2018,week-21,9636,K04000001,total-registered-deaths
2018,week-22,8147,K04000001,total-registered-deaths
2018,week-23,9950,K04000001,total-registered-deaths
2018,week-24,9343,K04000001,total-registered-deaths
2018,week-25,9256,K04000001,total-registered-deaths
2018,week-26,9212,K04000001,total-registered-deaths
2018,week-27,9258,K04000001,total-registered-deaths
2018,week-28,9293,K04000001,total-registered-deaths
2018,week-29,9127,K04000001,total-registered-deaths
2018,week-30,9141,K04000001,total-registered-deaths
2018,week-31,9161,K04000001,total-registered-deaths
2018,week-32,9319,K04000001,total-registered-deaths
2018,week-33,8830,K04000001,total-registered-deaths
2018,week-34,8978,K04000001,total-registered-deaths
2018,week-35,7865,K04000001,total-registered-deaths
2018,week-36,9445,K04000001,total-registered-deaths
2018,week-37,9191,K04000001,total-registered-deaths
2018,week-38,9305,K04000001,total-registered-deaths
2018,week-39,9150,K04000001,total-registered-deaths
2018,week-40,9503,K04000001,total-registered-deaths
2018,week-41,9649,K04000001,total-registered-deaths
2018,week-42,9864,K04000001,total-registered-deaths
2018,week-43,9603,K04000001,total-registered-deaths
2018,week-44,9529,K04000001,total-registered-deaths
2018,week-45,10151,K04000001,total-registered-deaths
2018,week-46,10193,K04000001,total-registered-deaths
2018,week-47,9957,K04000001,total-registered-deaths
2018,week-48,10033,K04000001,total-registered-deaths
2018,week-49,10287,K04000001,total-registered-deaths
2018,week-50,10550,K04000001,total-registered-deaths
2018,week-51,11116,K04000001,total-registered-deaths
2018,week-52,7131,K04000001,total-registered-deaths
2019,week-1,10955,K04000001,total-registered-deaths
2019,week-2,12609,K04000001,total-registered-deaths
2019,week-3,11860,K04000001,total-registered-deaths
2019,week-4,11740,K04000001,total-registered-deaths
2019,week-5,11297,K04000001,total-registered-deaths
2019,week-6,11660,K04000001,total-registered-deaths
2019,week-7,11824,K04000001,total-registered-deaths
2019,week-8,11295,K04000001,total-registered-deaths
2019,week-9,11044,K04000001,total-registered-deaths
2019,week-10,10898,K04000001,total-registered-deaths
2019,week-11,10567,K04000001,total-registered-deaths
2019,week-12,10402,K04000001,total-registered-deaths
2019,week-13,9867,K04000001,total-registered-deaths
2019,week-14,10126,K04000001,total-registered-deaths
2019,week-15,10291,K04000001,total-registered-deaths
2019,week-16,9025,K04000001,total-registered-deaths
2019,week-17,10059,K04000001,total-registered-deaths
2019,week-18,11207,K04000001,total-registered-deaths
2019,week-19,9055,K04000001,total-registered-deaths
2019,week-20,10272,K04000001,total-registered-deaths
2019,week-21,10284,K04000001,total-registered-deaths
2019,week-22,8260,K04000001,total-registered-deaths
2019,week-23,10140,K04000001,total-registered-deaths
2019,week-24,9445,K04000001,total-registered-deaths
2019,week-25,9458,K04000001,total-registered-deaths
2019,week-26,9511,K04000001,total-registered-deaths
2019,week-27,9062,K04000001,total-registered-deaths
2019,week-28,9179,K04000001,total-registered-deaths
2019,week-29,9080,K04000001,total-registered-deaths
2019,week-30,9112,K04000001,total-registered-deaths
2019,week-31,9271,K04000001,total-registered-deaths
2019,week-32,9122,K04000001,total-registered-deaths
2019,week-33,9093,K04000001,total-registered-deaths
2019,week-34,8994,K04000001,total-registered-deaths
2019,week-35,8242,K04000001,total-registered-deaths
2019,week-36,9695,K04000001,total-registered-deaths
2019,week-37,9513,K04000001,total-registered-deaths
2019,week-38,9440,K04000001,total-registered-deaths
2019,week-39,9517,K04000001,total-registered-deaths
2019,week-40,9799,K04000001,total-registered-deaths
2019,week-41,9973,K04000001,total-registered-deaths
2019,week-42,10156,K04000001,total-registered-deaths
2019,week-43,10021,K04000001,total-registered-deaths
2019,week-44,10164,K04000001,total-registered-deaths
2019,week-45,10697,K04000001,total-registered-deaths
2019,week-46,10650,K04000001,total-registered-deaths
2019,week-47,10882,K04000001,total-registered-deaths
2019,week-48,10958,K04000001,total-registered-deaths
2019,week-49,10816,K04000001,total-registered-deaths
2019,week-50,11188,K04000001,total-registered-deaths
2019,week-51,11926,K04000001,total-registered-deaths
2019,week-52,7533,K04000001,total-registered-deaths
